paper_id,publication_date,year_month,field,subfield,num_authors,institutions_distinct_count,countries_distinct_count,type,language,n_references,n_references_resolved,n_distinct_fields_cited,within_field_share,citation_hhi,other_field_share,surprise_kl,surprise_entropy
https://openalex.org/W3190969074,2021-05-30,2021-05,Arts and Humanities,Language and Linguistics,2,2,1,article,en,3,3,2,0.0,0.555556,0.0,1.419247,0.636517
https://openalex.org/W3157221032,2021-05-03,2021-05,Arts and Humanities,Archeology,8,8,3,article,en,16,16,4,0.125,0.304688,0.25,0.999638,1.282049
https://openalex.org/W3157248822,2021-05-01,2021-05,Arts and Humanities,Conservation,3,3,1,article,en,19,13,4,0.384615,0.372781,0.0,1.671892,1.118971
https://openalex.org/W3174281838,2021-05-01,2021-05,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,16,12,4,0.333333,0.319444,0.0,0.660603,1.236687
https://openalex.org/W3160522590,2021-05-11,2021-05,Arts and Humanities,Conservation,2,2,1,article,en,27,23,6,0.173913,0.240076,0.043478,0.580159,1.560405
https://openalex.org/W3171100357,2021-05-28,2021-05,Arts and Humanities,History,1,1,0,article,en,13,7,3,0.285714,0.428571,0.0,0.434204,0.955702
https://openalex.org/W3157043551,2021-05-05,2021-05,Arts and Humanities,Language and Linguistics,1,1,1,article,en,31,28,4,0.75,0.589286,0.0,0.264405,0.801263
https://openalex.org/W2951519917,2021-05-24,2021-05,Arts and Humanities,History and Philosophy of Science,1,1,0,article,en,5,5,4,0.2,0.28,0.4,1.15935,1.332181
https://openalex.org/W3170913475,2021-05-28,2021-05,Arts and Humanities,History and Philosophy of Science,2,2,1,article,en,30,29,10,0.034483,0.250892,0.172414,0.897764,1.796593
https://openalex.org/W3160362680,2021-05-08,2021-05,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,38,35,6,0.542857,0.358367,0.028571,0.45669,1.303014
https://openalex.org/W3195819061,2021-05-04,2021-05,Arts and Humanities,History,1,1,1,article,en,41,41,3,0.439024,0.457466,0.0,0.421114,0.851429
https://openalex.org/W3164144137,2021-05-24,2021-05,Arts and Humanities,Philosophy,1,1,0,article,en,29,28,5,0.678571,0.5,0.0,0.49973,0.997284
https://openalex.org/W3170375322,2021-05-31,2021-05,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,7,6,3,0.166667,0.388889,0.0,1.223457,1.011407
https://openalex.org/W3172193545,2021-05-21,2021-05,Arts and Humanities,Philosophy,1,1,2,article,en,16,14,4,0.571429,0.397959,0.0,0.948798,1.116369
https://openalex.org/W3166283930,2021-05-31,2021-05,Arts and Humanities,Philosophy,1,1,2,article,en,20,20,2,0.95,0.905,0.0,0.679655,0.198518
https://openalex.org/W3169488276,2021-05-29,2021-05,Arts and Humanities,Philosophy,2,2,3,article,en,89,68,5,0.764706,0.608131,0.0,0.329918,0.788821
https://openalex.org/W3168109888,2021-05-28,2021-05,Arts and Humanities,Archeology,2,2,2,article,en,37,37,3,0.243243,0.463842,0.0,0.605155,0.909878
https://openalex.org/W3166081809,2021-05-31,2021-05,Arts and Humanities,Religious studies,1,1,1,article,en,34,31,2,0.903226,0.825182,0.0,0.496466,0.31794
https://openalex.org/W3164027902,2021-05-01,2021-05,Arts and Humanities,Archeology,1,1,1,article,en,13,13,5,0.384615,0.242604,0.0,0.835011,1.519385
https://openalex.org/W3163036674,2021-05-01,2021-05,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,24,21,2,0.285714,0.591837,0.0,0.630961,0.598272
https://openalex.org/W3162641134,2021-05-10,2021-05,Arts and Humanities,Museology,2,2,1,article,en,50,46,9,0.282609,0.193762,0.065217,0.326321,1.848805
https://openalex.org/W3162230077,2021-05-19,2021-05,Arts and Humanities,Archeology,3,3,0,article,en,76,66,5,0.530303,0.376492,0.166667,0.292622,1.153824
https://openalex.org/W3170756783,2021-05-01,2021-05,Arts and Humanities,History and Philosophy of Science,2,2,2,article,en,94,92,11,0.423913,0.284499,0.032609,0.281478,1.614355
https://openalex.org/W3197237131,2021-05-29,2021-05,Arts and Humanities,Archeology,2,2,0,article,en,5,5,4,0.0,0.28,0.0,2.47702,1.332181
https://openalex.org/W4401045009,2021-05-03,2021-05,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,29,29,4,0.655172,0.507729,0.0,0.220928,0.864544
https://openalex.org/W3157081937,2021-05-01,2021-05,Arts and Humanities,Literature and Literary Theory,2,2,2,article,en,29,22,4,0.590909,0.433884,0.272727,0.577056,1.023718
https://openalex.org/W3157676927,2021-05-04,2021-05,Arts and Humanities,Language and Linguistics,2,2,1,article,en,77,77,7,0.454545,0.342891,0.038961,0.13472,1.295204
https://openalex.org/W3160557376,2021-05-18,2021-05,Arts and Humanities,Archeology,2,2,1,article,en,14,13,6,0.384615,0.242604,0.153846,0.992171,1.585773
https://openalex.org/W3163274425,2021-05-17,2021-05,Arts and Humanities,Visual Arts and Performing Arts,3,3,1,article,en,47,46,5,0.173913,0.440454,0.065217,0.469141,1.129195
https://openalex.org/W3170249642,2021-05-28,2021-05,Arts and Humanities,Philosophy,1,1,1,article,en,61,60,9,0.116667,0.222778,0.083333,1.091513,1.757808
https://openalex.org/W4205582963,2021-05-01,2021-05,Arts and Humanities,Archeology,3,3,2,article,en,3,3,3,0.333333,0.333333,0.0,1.024287,1.098615
